%Mrecord 0 (time variation) cell 543 col 23 row 13
%CardiacSheet v5.7  Fri Sep 13 15:53:59 2013
%Reserved for the runlabel
%dt 10 usec  PrintInterval 50 usec
%:time (mS)      stim   Vm (mV)
     0.000       0 0     -88.7
     0.050       0 0     -88.7
     0.100       0 0     -88.7
     0.150       0 0     -88.7
     0.200       0 0     -88.7
     0.250       0 0     -88.7
     0.300       0 0     -88.7
     0.350       0 0     -88.7
     0.400       0 0     -88.7
     0.450       0 0     -88.7
     0.500       0 0     -88.7
     0.550       0 0     -88.7
     0.600       0 0     -88.7
     0.650       0 0     -88.7
     0.700       0 0     -88.7
     0.750       0 0     -88.7
     0.800       0 0     -88.7
     0.850       0 0     -88.7
     0.900       0 0     -88.7
     0.950       0 0     -88.7
     1.000       1 0     -88.7
     1.050       1 0     -62.5
     1.100       1 0     -45.8
     1.150       1 0     -33.9
     1.200       0 0     -22.7
     1.250       0 0     -35.1
     1.300       0 0     -38.4
     1.350       0 0     -39.4
     1.400       0 0     -40.3
     1.450       0 0     -41.4
     1.500       0 0     -43.1
     1.550       0 0     -45.7
     1.600       0 0     -49.6
     1.650       0 0     -54.9
     1.700       0 0     -60.7
     1.750       0 0     -65.7
     1.800       0 0     -69.4
     1.850       0 0     -72.0
     1.900       0 0     -74.1
     1.950       0 0     -75.7
     2.000       0 1     -77.0
     2.050       0 1     -78.1
     2.100       0 1     -79.0
     2.150       0 1     -79.8
     2.200       0 1     -80.5
     2.250       0 1     -81.1
     2.300       0 1     -81.6
     2.350       0 1     -82.1
     2.400       0 0     -82.5
     2.450       0 0     -82.9
     2.500       0 0     -83.2
     2.550       0 0     -83.5
     2.600       0 0     -83.8
     2.650       0 0     -84.1
     2.700       0 0     -84.3
     2.750       0 0     -84.5
     2.800       0 0     -84.8
     2.850       0 0     -85.0
     2.900       0 0     -85.1
     2.950       0 0     -85.3
     3.000       0 0     -85.5
     3.050       0 0     -85.6
     3.100       0 0     -85.7
     3.150       0 0     -85.9
     3.200       0 0     -86.0
     3.250       0 0     -86.1
     3.300       0 0     -86.2
     3.350       0 0     -86.3
     3.400       0 0     -86.4
     3.450       0 0     -86.5
     3.500       0 0     -86.6
     3.550       0 0     -86.7
     3.600       0 0     -86.7
     3.650       0 0     -86.8
     3.700       0 0     -86.9
     3.750       0 0     -87.0
     3.800       0 0     -87.0
     3.850       0 0     -87.1
     3.900       0 0     -87.1
     3.950       0 0     -87.2
     4.000       0 0     -87.2
%/ Program ends. Fri Sep 13 16:19:30 2013
% Copyright (c) Roger C. Barr 2013 All rights reserved.
