%Mrecord 0 (time variation) cell 0 col 0 row 0
%CardiacSheet v5.7  Fri Sep 20 15:55:37 2013
%First Trial For Creating a Voltage Map at time = 2.0ms (+-Measurement errors)
%dt 10 usec  PrintInterval 50 usec
%:time (mS)      stim   Vm (mV)
     0.000       1 1     -88.7
     0.050       1 1     -76.9
     0.100       1 1     -67.5
     0.150       1 1     -59.8
     0.200       1 1     -53.2
     0.250       1 1     -47.4
     0.300       1 1     -41.8
     0.350       1 1     -35.2
     0.400       0 0     -25.9
     0.450       0 0     -23.9
     0.500       0 0     -16.2
     0.550       0 0      -7.0
     0.600       0 0      -0.5
     0.650       0 0       2.0
     0.700       0 0       1.3
     0.750       0 0      -1.2
     0.800       0 0      -4.5
     0.850       0 0      -8.0
     0.900       0 0     -11.2
     0.950       0 0     -13.9
     1.000       0 0     -15.8
     1.050       0 0     -16.8
     1.100       0 0     -16.5
     1.150       0 0     -15.4
     1.200       0 0     -13.9
     1.250       0 0     -12.6
     1.300       0 0     -11.9
     1.350       0 0     -11.9
     1.400       0 0     -12.3
     1.450       0 0     -13.0
     1.500       0 0     -14.0
     1.550       0 0     -14.9
     1.600       0 0     -15.6
     1.650       0 0     -16.1
     1.700       0 0     -16.1
     1.750       0 0     -15.7
     1.800       0 0     -14.8
     1.850       0 0     -13.4
     1.900       0 0     -11.5
     1.950       0 0      -9.2
     2.000       0 0      -6.9
     2.050       0 0      -4.8
     2.100       0 0      -2.8
     2.150       0 0      -1.1
     2.200       0 0       0.3
     2.250       0 0       1.5
     2.300       0 0       2.6
     2.350       0 0       3.5
     2.400       0 0       4.3
     2.450       0 0       5.0
     2.500       0 0       5.6
     2.550       0 0       6.3
     2.600       0 0       6.9
     2.650       0 0       7.7
     2.700       0 0       8.4
     2.750       0 0       9.2
     2.800       0 0      10.0
     2.850       0 0      10.7
     2.900       0 0      11.5
     2.950       0 0      12.2
     3.000       0 0      12.8
     3.050       0 0      13.5
     3.100       0 0      14.1
     3.150       0 0      14.6
     3.200       0 0      15.2
     3.250       0 0      15.7
     3.300       0 0      16.2
     3.350       0 0      16.8
     3.400       0 0      17.3
     3.450       0 0      17.8
     3.500       0 0      18.3
     3.550       0 0      18.8
     3.600       0 0      19.3
     3.650       0 0      19.8
     3.700       0 0      20.3
     3.750       0 0      20.7
     3.800       0 0      21.2
     3.850       0 0      21.6
     3.900       0 0      22.0
     3.950       0 0      22.5
     4.000       0 0      22.9
%/ Program ends. Fri Sep 20 15:57:43 2013
% Copyright (c) Roger C. Barr 2013 All rights reserved.
